[2018-03-20 10:52:23] Initializing upgrade...
[2018-03-20 10:52:28] Changing application structure...
[2018-03-20 10:52:32] Removing obsolete files...
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Browsers\outputfilter.browser
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Code\Application\CMSAppBase.cs
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Code\Application\CMSHttpApplication.cs
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Code\CMS\CMSFunctions.cs
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Code\CMS\CMSTransformation.cs
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Code\CMS\CodeTemplateGenerator.cs
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Code\CMS\InstallerFunctions.cs
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Code\CMSModules\Automation\AutomationMethods.cs
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Code\CMSModules\Automation\AutomationMethodsLoader.cs
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Code\CMSModules\Blogs\BlogMethods.cs
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Code\CMSModules\Blogs\BlogMethodsLoader.cs
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Code\CMSModules\Content\ContentMethods.cs
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Code\CMSModules\Content\ContentMethodsLoader.cs
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Code\CMSModules\Content\CMSPages\MultiFileUploader.ashx.cs
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Code\CMSModules\Ecommerce\EcommerceMethods.cs
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Code\CMSModules\Ecommerce\EcommerceMethodsLoader.cs
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Code\CMSModules\Ecommerce\ProductList.cs
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Code\CMSModules\Ecommerce\ProductOptionSelector.cs
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Code\CMSModules\Ecommerce\TextBoxWithLabel.cs
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Code\CMSModules\Forums\ForumMethods.cs
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Code\CMSModules\Forums\ForumMethodsLoader.cs
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Code\CMSModules\Forums\CMSPages\MultiFileUploader.ashx.cs
[2018-03-20 10:52:32] Removing file C:\inetpub\wwwroot\version 7\CMS\App_Code\CMSModules\Macros\EmailTemplateMacros.cs
